x-coord,y-coord,z-coord
522617.22,7701789.86,-230.00
522620.47,7701786.88,-230.00
522623.45,7701784.13,-230.00
522646.56,7701762.97,-230.00
522671.52,7701739.86,-230.00
522672.52,7701738.93,-230.00
522673.45,7701738.06,-230.00
522698.45,7701714.87,-230.00
522723.45,7701691.42,-230.00
522725.12,7701689.86,-230.00
522750.04,7701666.45,-230.00
522773.45,7701644.24,-230.00
522778.09,7701639.86,-230.00
522801.36,7701617.77,-230.00
522823.45,7701596.58,-230.00
522830.51,7701589.86,-230.00
522852.43,7701568.84,-230.00
522873.45,7701548.49,-230.00
522882.44,7701539.86,-230.00
522903.28,7701519.69,-230.00
522923.45,7701499.98,-230.00
522933.91,7701489.86,-230.00
522953.92,7701470.34,-230.00
522973.45,7701451.10,-230.00
522984.99,7701439.86,-230.00
523004.38,7701420.79,-230.00
523023.45,7701401.88,-230.00
523035.70,7701389.86,-230.00
523054.67,7701371.08,-230.00
523073.45,7701352.32,-230.00
523086.08,7701339.86,-230.00
523104.80,7701321.21,-230.00
523123.45,7701302.46,-230.00
523136.15,7701289.86,-230.00
523154.78,7701271.19,-230.00
523173.45,7701252.32,-230.00
523185.93,7701239.86,-230.00
523204.62,7701221.03,-230.00
523223.45,7701201.89,-230.00
523235.45,7701189.86,-230.00
523254.33,7701170.74,-230.00
523273.45,7701151.20,-230.00
523284.70,7701139.86,-230.00
523303.90,7701120.31,-230.00
523323.45,7701100.24,-230.00
523333.71,7701089.86,-230.00
523353.35,7701069.76,-230.00
523373.45,7701049.03,-230.00
523382.47,7701039.86,-230.00
523402.68,7701019.09,-230.00
523423.45,7700997.56,-230.00
523430.99,7700989.86,-230.00
523451.88,7700968.29,-230.00
523473.45,7700945.83,-230.00
523479.27,7700939.86,-230.00
523500.95,7700917.36,-230.00
523523.45,7700893.83,-230.00
523527.31,7700889.86,-230.00
523549.90,7700866.31,-230.00
523573.45,7700841.56,-230.00
523575.09,7700839.86,-230.00
523598.71,7700815.12,-230.00
523622.64,7700789.86,-230.00
523623.03,7700789.44,-230.00
523623.45,7700789.00,-230.00
523647.39,7700763.80,-230.00
523669.97,7700739.86,-230.00
523671.65,7700738.06,-230.00
523673.45,7700736.12,-230.00
523695.93,7700712.34,-230.00
523717.03,7700689.86,-230.00
523720.12,7700686.53,-230.00
523723.45,7700682.93,-230.00
523744.33,7700660.74,-230.00
523763.83,7700639.86,-230.00
523768.45,7700634.86,-230.00
523773.45,7700629.41,-230.00
523792.57,7700608.98,-230.00
523810.35,7700589.86,-230.00
523816.62,7700583.03,-230.00
523823.45,7700575.55,-230.00
523840.66,7700557.07,-230.00
523856.58,7700539.86,-230.00
523864.63,7700531.04,-230.00
523873.45,7700521.34,-230.00
523888.59,7700505.00,-230.00
523902.52,7700489.86,-230.00
523912.48,7700478.89,-230.00
523923.45,7700466.75,-230.00
523936.34,7700452.75,-230.00
523948.15,7700439.86,-230.00
523960.16,7700426.57,-230.00
523973.45,7700411.77,-230.00
523983.92,7700400.34,-230.00
523993.47,7700389.86,-230.00
524007.65,7700374.07,-230.00
524023.45,7700356.38,-230.00
524031.32,7700347.74,-230.00
524038.46,7700339.86,-230.00
524054.96,7700321.38,-230.00
524073.45,7700300.57,-230.00
524078.54,7700294.95,-230.00
524083.12,7700289.86,-230.00
524102.08,7700268.49,-230.00
524123.45,7700244.30,-230.00
524125.55,7700241.96,-230.00
524127.44,7700239.86,-230.00
524149.00,7700215.42,-230.00
524171.44,7700189.86,-230.00
524172.37,7700188.78,-230.00
524173.45,7700187.53,-230.00
524195.72,7700162.13,-230.00
524215.16,7700139.86,-230.00
524218.99,7700135.40,-230.00
524223.45,7700130.18,-230.00
524242.22,7700108.63,-230.00
524258.51,7700089.86,-230.00
524265.39,7700081.80,-230.00
524273.45,7700072.32,-230.00
524288.51,7700054.92,-230.00
524301.50,7700039.86,-230.00
524311.57,7700027.98,-230.00
524323.45,7700013.92,-230.00
524334.57,7700000.99,-230.00
524344.11,7699989.86,-230.00
524357.52,7699973.94,-230.00
524373.45,7699954.97,-230.00
524380.41,7699946.82,-230.00
524386.35,7699939.86,-230.00
524403.25,7699919.66,-230.00
524423.45,7699895.45,-230.00
524426.02,7699892.43,-230.00
524428.19,7699889.86,-230.00
524451.42,7699861.88,-230.00
524469.71,7699839.86,-230.00
524473.45,7699835.26,-230.00
524510.92,7699789.86,-230.00
524523.45,7699774.35,-230.00
524551.74,7699739.86,-230.00
524573.45,7699712.82,-230.00
524592.17,7699689.86,-230.00
524623.45,7699650.66,-230.00
524632.20,7699639.86,-230.00
524665.82,7699597.48,-230.00
524671.87,7699589.86,-230.00
524673.45,7699587.83,-230.00
524711.29,7699539.86,-230.00
524723.45,7699524.12,-230.00
524750.33,7699489.86,-230.00
524773.45,7699459.77,-230.00
524788.99,7699439.86,-230.00
524823.45,7699394.79,-230.00
524827.28,7699389.86,-230.00
524839.50,7699373.80,-230.00
524865.33,7699339.86,-230.00
524873.45,7699328.97,-230.00
524903.07,7699289.86,-230.00
524923.45,7699262.42,-230.00
524940.47,7699239.86,-230.00
524973.45,7699195.29,-230.00
524977.53,7699189.86,-230.00
524989.02,7699174.28,-230.00
525014.40,7699139.86,-230.00
525023.45,7699127.35,-230.00
525051.01,7699089.86,-230.00
525073.45,7699058.77,-230.00
525087.32,7699039.86,-230.00
525123.06,7698990.24,-230.00
525123.34,7698989.86,-230.00
525123.45,7698989.70,-230.00
525159.28,7698939.86,-230.00
525173.45,7698919.81,-230.00
525194.97,7698889.86,-230.00
525223.45,7698849.55,-230.00
525230.41,7698839.86,-230.00
525247.23,7698816.07,-230.00
525265.74,7698789.86,-230.00
525273.45,7698778.77,-230.00
525300.96,7698739.86,-230.00
525323.45,7698707.55,-230.00
525335.98,7698689.86,-230.00
525364.96,7698648.34,-230.00
525370.87,7698639.86,-230.00
525373.45,7698636.11,-230.00
525405.78,7698589.86,-230.00
525423.45,7698564.25,-230.00
525440.57,7698539.86,-230.00
525473.45,7698492.41,-230.00
525475.24,7698489.86,-230.00
525479.38,7698483.93,-230.00
525510.02,7698439.86,-230.00
525523.45,7698420.31,-230.00
